timestamp,label,total_runs,mean_ratio,stddev_ratio,max_swing_ratio,max_ratio
2023-07-05 14:30:00,final with .80 decay,-1,0.023197,0.002989,0.010401,0.027748
2023-07-05 15:00:00,final,-1,0.023818,0.002887,0.015238,0.031507
2025-03-02 14:21:12,unexpected,56,0.024640,0.003263,0.013190,0.031647
2025-03-02 14:26:26,better,56,0.061048,0.004682,0.020345,0.073411
2025-03-02 14:27:37,good,56,0.064528,0.008279,0.049137,0.089627
2025-03-02 14:29:17,bak,56,0.317505,0.084013,0.322032,0.506095
2025-03-02 14:54:36,bak,56,0.287275,0.061345,0.298097,0.473285
2025-03-04 22:01:56,latestdev,56,0.024079,0.002636,0.014304,0.032557
2025-03-04 22:09:40,dontcachelargeloop,56,0.023237,0.002851,0.015282,0.032117
2025-03-04 22:11:47,samebutresetloops,56,0.024122,0.003360,0.014115,0.032214
